Beta,Beta_HWP,Beta_QWP,Alpha,theta,V_t,V_r,"V_{t,max}","V_(r,max)",pr_t,pr_r,pr_r+pr_t
44,44,59,0,-67.5,0.376,0.333,0.726,0.675,0.517906336,0.493333333,1.011239669
54,44,59,10,-47.5,0.383,0.317,0.726,0.675,0.527548209,0.46962963,0.997177839
64,44,59,20,-27.5,0.383,0.313,0.726,0.675,0.527548209,0.463703704,0.991251913
74,44,59,30,-7.5,0.371,0.325,0.726,0.675,0.511019284,0.481481481,0.992500765
84,44,59,40,12.5,0.353,0.34,0.726,0.675,0.486225895,0.503703704,0.989929599
94,44,59,50,32.5,0.332,0.349,0.726,0.675,0.457300275,0.517037037,0.974337313
104,44,59,60,52.5,0.32,0.354,0.726,0.675,0.44077135,0.524444444,0.965215794
114,44,59,70,72.5,0.331,0.359,0.726,0.675,0.455922865,0.531851852,0.987774717
124,44,59,80,92.5,0.344,0.348,0.726,0.675,0.473829201,0.515555556,0.989384757
134,44,59,90,112.5,0.36,0.331,0.726,0.675,0.495867769,0.49037037,0.986238139
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,45/2,,,,,,,,